citation_key,item_type,title,year,journal,volume,issue,pages,doi,pmid,keywords,source_collection,source_query,url
Padmapriyadarsini2024EffectivenessandSaf,article,"Effectiveness and Safety of Varying Doses of Linezolid With Bedaquiline and Pretomanid in Treatment of Drug-Resistant Pulmonary Tuberculosis: Open-Label, Randomized Clinical Trial.",2024,Clin Infect Dis,79,6,1375-1385,10.1093/cid/ciae388,39194339,bedaquiline-safety-qtc; drtb-short-regimen-outcomes; thesis-body,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/39194339/
Fu2024SASPpreXDR,article,"Evaluation of Sulfasalazine as an Adjunctive Therapy in Treating Pulmonary Pre-XDR-TB: Efficacy, Safety, and Treatment Implication",2024,Infection and Drug Resistance,17,,595-604,10.2147/IDR.S449889,,thesis-body; sasp; clinical,thesis-body,manual,
Perini2024Genomicinsightsintoshankandegg,article,Genomic insights into shank and eggshell color in Italian local chickens.,2024,Poult Sci,103,6,103677,10.1016/j.psj.2024.103677,38593544,thesis-body; xct-slc7a11-genetics,thesis-body,xct-slc7a11-genetics,https://pubmed.ncbi.nlm.nih.gov/38593544/
Brooks2024LinezolidPharmacokineticAnemia,article,Linezolid Pharmacokinetic-Anemia Modeling in Children With Rifampicin-Resistant Tuberculosis.,2024,Clin Infect Dis,79,6,1495-1502,10.1093/cid/ciae497,39422476,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/39422476/
Goodall2024Longtermefficacyandsafetyoftw,article,"Long-term efficacy and safety of two short standardised regimens for the treatment of rifampicin-resistant tuberculosis (STREAM stage 2): extended follow-up of an open-label, multicentre, randomised, non-inferiority trial.",2024,Lancet Respir Med,12,12,975-987,10.1016/S2213-2600(24)00186-3,39366400,thesis-body; bedaquiline-safety-qtc,thesis-body,bedaquiline-safety-qtc,https://pubmed.ncbi.nlm.nih.gov/39366400/
Motta2024Recentadvancesinthetreatmentoft,article,Recent advances in the treatment of tuberculosis.,2024,Clin Microbiol Infect,30,9,1107-1114,10.1016/j.cmi.2023.07.013,37482332,thesis-body; drtb-short-regimen-outcomes,thesis-body,drtb-short-regimen-outcomes,https://pubmed.ncbi.nlm.nih.gov/37482332/
Qin2024SenescentMacrophagesandtheLungCan,article,Senescent Macrophages and the Lung Cancer Microenvironment: A New Perspective on Tumor Immune Evasion.,2024,Aging Dis,16,6,3453-3465,10.14336/AD.2024.1404,39751858,thesis-body; sasp-tb-clinical-translational,thesis-body,sasp-tb-clinical-translational,https://pubmed.ncbi.nlm.nih.gov/39751858/
Ji2024Theemergingimportanceoflymphangiog,article,The emerging importance of lymphangiogenesis in aging and aging-associated diseases.,2024,Mech Ageing Dev,221,,111975,10.1016/j.mad.2024.111975,39089499,thesis-body; sasp-tb-clinical-translational,thesis-body,sasp-tb-clinical-translational,https://pubmed.ncbi.nlm.nih.gov/39089499/
Cai2024Theimpactofageingmechanismsonmusc,article,The impact of ageing mechanisms on musculoskeletal system diseases in the elderly.,2024,Front Immunol,15,,1405621,10.3389/fimmu.2024.1405621,38774874,thesis-body; sasp-tb-clinical-translational,thesis-body,sasp-tb-clinical-translational,https://pubmed.ncbi.nlm.nih.gov/38774874/
Sun2024TherapeuticStrategiesforTuberculo,article,Therapeutic Strategies for Tuberculosis: Progress and Lessons Learned.,2024,Biomed Environ Sci,37,11,1310-1323,10.3967/bes2024.168,39667968,thesis-body; linezolid-toxicity,thesis-body,linezolid-toxicity,https://pubmed.ncbi.nlm.nih.gov/39667968/
Tripathy2024Unveilingthemolecularmechani,article,"Unveiling the molecular mechanisms of pigmentation control in Queen Loach, Botia dario (Hamilton, 1822): Insights from sesame seed and marigold-induced antityrosinase effects.",2024,J Anim Physiol Anim Nutr (Berl),108,5,1453-1467,10.1111/jpn.13983,38767315,thesis-body; xct-slc7a11-genetics,thesis-body,xct-slc7a11-genetics,https://pubmed.ncbi.nlm.nih.gov/38767315/
Zhang2025ANGPTL4theLinkBindingLipidMetab,article,ANGPTL4-the Link Binding Lipid Metabolism and Inflammation.,2025,Curr Med Chem,32,15,2931-2949,10.2174/0109298673320024240829070906,39252623,thesis-body; xct-slc7a11-genetics,thesis-body,xct-slc7a11-genetics,https://pubmed.ncbi.nlm.nih.gov/39252623/
Zheng2025BerberineInhibitedSASPRelatedIn,article,Berberine Inhibited SASP-Related Inflammation through RXRα/PPARγ/NEDD4 Pathway in Atherosclerosis.,2025,Am J Chin Med,53,1,251-283,10.1142/S0192415X25500107,39829230,thesis-body; sasp-tb-clinical-translational,thesis-body,sasp-tb-clinical-translational,https://pubmed.ncbi.nlm.nih.gov/39829230/
